"subj_idx","series","1_match_circular_NA","1_match_pentagon_NA","1_match_square_NA","1_match_triangle_NA","2_match_circular_NA","2_match_pentagon_NA","2_match_square_NA","2_match_triangle_NA","3_match_circular_NA","3_match_pentagon_NA","3_match_square_NA","3_match_triangle_NA","1_mismatch_circular_NA","1_mismatch_pentagon_NA","1_mismatch_square_NA","1_mismatch_triangle_NA","2_mismatch_circular_NA","2_mismatch_pentagon_NA","2_mismatch_square_NA","2_mismatch_triangle_NA","3_mismatch_circular_NA","3_mismatch_pentagon_NA","3_mismatch_square_NA","3_mismatch_triangle_NA","1_match_NA_friend","1_match_NA_mother","1_match_NA_self","1_match_NA_stranger","2_match_NA_friend","2_match_NA_mother","2_match_NA_self","2_match_NA_stranger","3_match_NA_friend","3_match_NA_mother","3_match_NA_self","3_match_NA_stranger","1_mismatch_NA_friend","1_mismatch_NA_mother","1_mismatch_NA_self","1_mismatch_NA_stranger","2_mismatch_NA_friend","2_mismatch_NA_mother","2_mismatch_NA_self","2_mismatch_NA_stranger","3_mismatch_NA_friend","3_mismatch_NA_mother","3_mismatch_NA_self","3_mismatch_NA_stranger"
"sv020012",0,589.25,696,653.7,603.6,576.25,688.5,629.9,616.8,550.4,625.4,576,569.6,740.5,716.8,739.85,704.8,703,701.7,692.9,719.6,641.5,665.9,674.7,657.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sv020012",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,698.95,677.4,705.7,715.25,727.9,666.1,697.4,694.7,683.15,647.3,643.8,675.1,798.6,771.9,759.2,858.7,787.6,734.9,730.8,774.75,730.95,739.4,731.1,722.3
"sv020013",0,501.99999995,580.1999999,508.6999999,522.5999999,489.5,548.79999995,490.05000005,505.1,479.9,529.4,518,493.5,557.35,613.3,584,578.9,531.8000001,565.2,565.45,545.65,530.55000005,517.35,558.90000005,531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sv020013",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,571.64999995,546.0999999,524.5,590.5,585.89999995,562.6,536.99999995,582.00000005,562.4,533.55,505.8,546.9,634.8,587.65,584.7,584.1,587.55,589.59999995,584.9000001,590.05,547.6,574.1,569.4,536.35000005
"sv020014",0,631.6575,757.35,671.89,667.09,679.6375,752.43,712.115,690.7425,613.175,714.755,695.62,642.51,754.24,731.97,774.41,734.6425,714.365,722.305,776.4425,757.125,717.145,697.485,755.21,720.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sv020014",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,745.7,735.6,701.9,851.3,797.45,700.65,666.5,793.7,716.9,657.5,626.3,708.2,817.75,750.9,726.3,832.4,763.55,758.15,783.4,805.1,718.2,726.8,729.75,706.35
"sv020015",0,624.5325,711.6,670.9375,690.7,667.54,804.405,745.345,727.4775,639.125,730.77,677.3475,678.995,679.0875,726.19,724.8825,680.2125,717.345,806.925,768.685,744.65,697.6625,727.95,701.3275,697.0925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sv020015",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,844.275,743.44,724.255,781.495,709.245,751.8225,662.895,719.01,804.07,756.0225,692.1975,805.445,784.67,769.2,732.64,819.765,781.16,748.6125,698.725,730.8325,797.7,821.1125,742.085,711.0475
"sv020016",0,580.8,607.3,585.45,571.89999995,635.15,680.4,648.85,662.8000001,603.95,650.6,641.5,591.40000005,587.45,643.1,615.8000001,627.95,649,651.75,663.49999995,640.85000005,663.60000005,741.45,697.14999995,648.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sv020016",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,646.1,642,617.7,675.4,682.9,674.2,622.3,668.7,659.9,667.1,624,673.75,670.15,639.75,632.9,674.75,666.15,659.9,637.1,651.9,653.2,648.5,641.4,671.2
