"subj_idx","series","misNum","shapeNameEn","characterNameEn","CorrectingRT","Dprime"
"sv020005",0,1,"circular",NA,34.6953125,4.04265573437966
"sv020005",0,1,"pentagon",NA,67.8461857269504,2.79228210541564
"sv020005",0,1,"square",NA,34.6020833333333,3.26578494047479
"sv020005",0,1,"triangle",NA,32.7457291666667,3.57095467605393
"sv020005",0,2,"circular",NA,65.855,2.79228210541564
"sv020005",0,2,"pentagon",NA,86.1138541666667,3.06824108870509
"sv020005",0,2,"square",NA,40.2658333333334,3.11465852322288
"sv020005",0,2,"triangle",NA,-26.4228125000001,3.76849852782363
"sv020005",0,3,"circular",NA,46.5592708333334,2.76598825420128
"sv020005",0,3,"pentagon",NA,25.3654166666666,2.91711467145318
"sv020005",0,3,"square",NA,76.5882291666667,3.29499569276448
"sv020005",0,3,"triangle",NA,6.40947916666664,3.57095467605393
"sv020005",1,1,NA,"friend",98.8139583333333,2.40851094143911
"sv020005",1,1,NA,"mother",39.2164583333333,2.43746657887069
"sv020005",1,1,NA,"self",70.8839583333333,2.88201377649825
"sv020005",1,1,NA,"stranger",97.6091666666666,1.86669025326997
"sv020005",1,2,NA,"friend",103.7171875,2.43746657887069
"sv020005",1,2,NA,"mother",8.27385416666664,3.41982825880203
"sv020005",1,2,NA,"self",62.5691666666667,3.41982825880203
"sv020005",1,2,NA,"stranger",88.7996875,2.51632312212619
"sv020005",1,3,NA,"friend",69.1978125000001,2.43746657887069
"sv020005",1,3,NA,"mother",-13.7079166666666,2.53334350747665
"sv020005",1,3,NA,"self",65.1114583333333,2.35041569320234
"sv020005",1,3,NA,"stranger",71.8851041666666,3.11465852322288
"sv020006",0,1,"circular",NA,68.425625,3.57095467605393
"sv020006",0,1,"pentagon",NA,-7.29781249999996,2.88201377649825
"sv020006",0,1,"square",NA,63.3900000000001,4.34782546995881
"sv020006",0,1,"triangle",NA,41.1651041666667,3.57095467605393
"sv020006",0,2,"circular",NA,65.0516571969697,3.69398546535806
"sv020006",0,2,"pentagon",NA,-3.0716666666666,3.76849852782363
"sv020006",0,2,"square",NA,26.1466527777778,3.26578494047479
"sv020006",0,2,"triangle",NA,38.0783333333334,4.04265573437966
"sv020006",0,3,"circular",NA,-21.0515624999999,4.07366826340278
"sv020006",0,3,"pentagon",NA,16.9972916666667,4.62198267651484
"sv020006",0,3,"square",NA,5.01312499999995,4.04265573437967
"sv020006",0,3,"triangle",NA,72.4960416666667,4.34782546995881
"sv020006",1,1,NA,"friend",49.6194215425531,3.57095467605393
"sv020006",1,1,NA,"mother",43.0965625,4.62198267651484
"sv020006",1,1,NA,"self",42.5203124999999,3.84511188260996
"sv020006",1,1,NA,"stranger",127.425104166667,4.07366826340278
"sv020006",1,2,NA,"friend",-0.373854166666661,4.07366826340278
"sv020006",1,2,NA,"mother",48.3395833333334,4.07366826340278
"sv020006",1,2,NA,"self",57.5284375,4.04265573437966
"sv020006",1,2,NA,"stranger",59.3412500000001,3.76849852782363
"sv020006",1,3,NA,"friend",50.8558333333334,3.84511188260996
"sv020006",1,3,NA,"mother",37.2725,4.04265573437967
"sv020006",1,3,NA,"self",107.174479166667,4.07366826340278
"sv020006",1,3,NA,"stranger",34.0029166666667,4.07366826340278
"sv020007",0,1,"circular",NA,49.7236322682065,3.84511188260996
"sv020007",0,1,"pentagon",NA,0.803297870212759,3.57095467605393
"sv020007",0,1,"square",NA,29.2916665604167,4.04265573437967
"sv020007",0,1,"triangle",NA,-1.54641620465418,3.26578494047479
"sv020007",0,2,"circular",NA,12.5031250000001,3.57095467605393
"sv020007",0,2,"pentagon",NA,-44.3829255237144,2.88201377649825
"sv020007",0,2,"square",NA,15.55416660625,4.04265573437967
"sv020007",0,2,"triangle",NA,52.6160416749999,3.11465852322288
"sv020007",0,3,"circular",NA,3.96072910416672,4.34782546995881
"sv020007",0,3,"pentagon",NA,21.7189583604167,3.09130658347144
"sv020007",0,3,"square",NA,32.6375000416666,4.04265573437967
"sv020007",0,3,"triangle",NA,-1.21020840416668,3.41982825880203
"sv020007",1,1,NA,"friend",48.0187500354167,2.51632312212619
"sv020007",1,1,NA,"mother",-26.6893749979167,3.00425569780309
"sv020007",1,1,NA,"self",42.7845833375001,4.07366826340278
"sv020007",1,1,NA,"stranger",108.2487499375,2.20482183214606
"sv020007",1,2,NA,"friend",40.4169148085107,2.79228210541564
"sv020007",1,2,NA,"mother",-20.5846875229167,3.84511188260996
"sv020007",1,2,NA,"self",25.8680208645833,4.62198267651484
"sv020007",1,2,NA,"stranger",26.2028124770834,3.69398546535806
"sv020007",1,3,NA,"friend",35.1689583395832,2.91711467145318
"sv020007",1,3,NA,"mother",7.52270836875005,3.09130658347144
"sv020007",1,3,NA,"self",56.2042708666667,3.76849852782363
