"subj_idx","series","misNum","shapeNameEn","characterNameEn","CorrectingRT","Dprime"
"sv020005",0,1,"circular",NA,34.6953125,4.04265573437966
"sv020005",0,1,"pentagon",NA,81.1329347826087,2.87212697000629
"sv020005",0,1,"square",NA,46.7531036077706,3.23418611846874
"sv020005",0,1,"triangle",NA,21.9738231382979,3.56218968928645
"sv020005",0,2,"circular",NA,65.855,2.79228210541564
"sv020005",0,2,"pentagon",NA,86.1138541666667,3.06824108870509
"sv020005",0,2,"square",NA,24.8124456521739,3.09466943361037
"sv020005",0,2,"triangle",NA,-26.4228125000001,3.76849852782363
"sv020005",0,3,"circular",NA,46.5592708333334,2.76598825420128
"sv020005",0,3,"pentagon",NA,27.4586363636364,3.52381991982461
"sv020005",0,3,"square",NA,50.7810938945421,3.2615637069026
"sv020005",0,3,"triangle",NA,-0.515625,3.56218968928645
"sv020005",1,1,NA,"friend",71.2783730158731,2.41519940145303
"sv020005",1,1,NA,"mother",30.1158392434988,2.38441381024752
"sv020005",1,1,NA,"self",77.7778574879227,2.93231565535708
"sv020005",1,1,NA,"stranger",61.8309042553192,1.7950619109796
"sv020005",1,2,NA,"friend",56.4351666666666,2.29444490298929
"sv020005",1,2,NA,"mother",1.83894927536232,3.52226435826306
"sv020005",1,2,NA,"self",19.4623092890504,3.48064532574591
"sv020005",1,2,NA,"stranger",24.6375689289501,2.52906954906638
"sv020005",1,3,NA,"friend",60.9165158730159,2.41519940145303
"sv020005",1,3,NA,"mother",16.9249243498818,2.63416796735542
"sv020005",1,3,NA,"self",53.5702127659574,2.30095367346851
"sv020005",1,3,NA,"stranger",60.3705791962175,3.38139524499822
"sv020006",0,1,"circular",NA,51.2225531914894,3.72935731178617
"sv020006",0,1,"pentagon",NA,-7.7978571428572,3.56936070811515
"sv020006",0,1,"square",NA,7.58584175935289,4.28829199686811
"sv020006",0,1,"triangle",NA,27.1405101010101,3.70171173595824
"sv020006",0,2,"circular",NA,11.5044076086956,4.53629793684804
"sv020006",0,2,"pentagon",NA,-14.4348073122529,3.71209887561571
"sv020006",0,2,"square",NA,21.7965981624759,3.9997848654298
"sv020006",0,2,"triangle",NA,53.847619047619,4.24094138797665
"sv020006",0,3,"circular",NA,-9.54769195189647,4.32212614517292
"sv020006",0,3,"pentagon",NA,8.13274999999999,4.56453628433972
"sv020006",0,3,"square",NA,-4.15760416666672,4.03278787065848
"sv020006",0,3,"triangle",NA,10.7899588178295,4.30171179983945
"sv020006",1,1,NA,"friend",1.60166586073501,3.72222010150704
"sv020006",1,1,NA,"mother",47.9886170212767,4.60607988917956
"sv020006",1,1,NA,"self",57.0263940602837,4.03278787065848
"sv020006",1,1,NA,"stranger",126.765434782609,4.03817240116628
"sv020006",1,2,NA,"friend",-2.63173913043488,4.31398140982624
"sv020006",1,2,NA,"mother",12.5347430555556,4.04670890389677
"sv020006",1,2,NA,"self",77.1093043478261,3.99618337609536
"sv020006",1,2,NA,"stranger",24.9129298418973,4.01950976968912
"sv020006",1,3,NA,"friend",30.5082340425531,3.80994430202961
"sv020006",1,3,NA,"mother",6.7519515810277,3.98551683882799
"sv020006",1,3,NA,"self",70.9479734848485,4.03725770080737
"sv020006",1,3,NA,"stranger",34.3200826873385,4.27908056848035
"sv020007",0,1,"circular",NA,21.0713228720629,4.32212614517292
"sv020007",0,1,"pentagon",NA,9.701197963136,4.01471525109951
"sv020007",0,1,"square",NA,22.2610570820036,4.33906048319133
"sv020007",0,1,"triangle",NA,-1.54641620465418,3.45346092852331
"sv020007",0,2,"circular",NA,12.5031250000001,3.57095467605393
"sv020007",0,2,"pentagon",NA,-38.8149999941123,2.96515895809094
"sv020007",0,2,"square",NA,15.55416660625,4.04265573437967
"sv020007",0,2,"triangle",NA,20.4622056254528,3.40208032768378
"sv020007",0,3,"circular",NA,-5.10950582606381,4.33987407629117
"sv020007",0,3,"pentagon",NA,15.8984951474291,3.08254159670396
"sv020007",0,3,"square",NA,32.6375000416666,4.04265573437967
"sv020007",0,3,"triangle",NA,-9.2714960817375,3.41106327203454
"sv020007",1,1,NA,"friend",31.1717572530488,2.63075272321662
"sv020007",1,1,NA,"mother",-12.1502865538538,3.01728737273603
"sv020007",1,1,NA,"self",19.2139881736642,4.03794391712929
"sv020007",1,1,NA,"stranger",50.4850265334574,2.17395774496635
"sv020007",1,2,NA,"friend",50.0214297940244,2.93834633136058
"sv020007",1,2,NA,"mother",-25.0532169550879,3.81829155996173
"sv020007",1,2,NA,"self",25.3479419575252,4.56453628433971
"sv020007",1,2,NA,"stranger",8.24313731837947,3.63772571696734
"sv020007",1,3,NA,"friend",-4.76787680131326,3.60590676275587
"sv020007",1,3,NA,"mother",0.900512671363686,3.00807594434827
"sv020007",1,3,NA,"self",47.331952980444,3.68134209116693
"sv020007",1,3,NA,"stranger",28.9800252619697,3.77907427907276
"sv020008",0,1,"circular",NA,63.5321739130435,4.30563415189413
"sv020008",0,1,"pentagon",NA,17.5972074468085,2.48744534024617
"sv020008",0,1,"square",NA,31.5817966903073,3.42308469925332
"sv020008",0,1,"triangle",NA,28.3141535615172,4.322964354177
"sv020008",0,2,"circular",NA,129.662765957447,4.28379234123706
"sv020008",0,2,"pentagon",NA,-17.988037166086,3.04256430424617
"sv020008",0,2,"square",NA,63.0244917257683,3.8041258906338
"sv020008",0,2,"triangle",NA,127.375664893617,4.6140312828472
"sv020008",0,3,"circular",NA,43.600790513834,3.71209887561571
"sv020008",0,3,"pentagon",NA,1.2979690522244,2.37682484045095
