"subj_idx","series","condition","misNum","shapeEn","shapeNameEn","characterNameEn","mean_rt","med_rt","acc"
"sv020005",1,"mismatch",3,"pentagon",NA,"self",719.779333333333,720.835,0.933333333333333
"sv020005",1,"mismatch",3,"pentagon",NA,"stranger",705.226071428571,735.8425,0.928571428571429
"sv020005",1,"mismatch",3,"square",NA,"friend",714.813928571429,700.6875,0.714285714285714
"sv020005",1,"mismatch",3,"square",NA,"self",677.178214285714,644.2175,0.857142857142857
"sv020005",1,"mismatch",3,"square",NA,"stranger",709.270666666667,690.765,1
"sv020005",1,"mismatch",3,"triangle",NA,"friend",677.4425,675.665,0.857142857142857
"sv020005",1,"mismatch",3,"triangle",NA,"mother",647.5046875,641.495,1
"sv020005",1,"mismatch",3,"triangle",NA,"stranger",691.5203125,681.2975,1
"sv020006",0,"match",1,"circular","circular",NA,674.877446808511,661.27,0.978723404255319
"sv020006",0,"match",1,"pentagon","pentagon",NA,807.035357142857,793.7125,1
"sv020006",0,"match",1,"square","square",NA,742.962065217391,707.76,0.978260869565217
"sv020006",0,"match",1,"triangle","triangle",NA,720.652444444444,679.21,0.955555555555556
"sv020006",0,"match",2,"circular","circular",NA,690.912717391304,651.9,1
"sv020006",0,"match",2,"pentagon","pentagon",NA,729.541739130435,690.285,0.956521739130435
"sv020006",0,"match",2,"square","square",NA,684.075106382979,662.915,0.957446808510638
"sv020006",0,"match",2,"triangle","triangle",NA,665.116071428571,630.46,0.976190476190476
"sv020006",0,"match",3,"circular","circular",NA,656.99152173913,642.3,0.978260869565217
"sv020006",0,"match",3,"pentagon","pentagon",NA,671.926,627.24,1
"sv020006",0,"match",3,"square","square",NA,663.032604166667,658.0475,1
"sv020006",0,"match",3,"triangle","triangle",NA,636.968645833333,619.315,1
"sv020006",0,"mismatch",1,"circular","triangle",NA,747.792954545455,714.9375,0.977272727272727
"sv020006",0,"mismatch",1,"pentagon","circular",NA,726.1,665.52,0.955555555555556
"sv020006",0,"mismatch",1,"square","pentagon",NA,799.2375,748.2925,0.904761904761905
"sv020006",0,"mismatch",1,"triangle","square",NA,750.547906976744,707.1,1
"sv020006",0,"mismatch",2,"circular","square",NA,741.497619047619,716.805,1
"sv020006",0,"mismatch",2,"circular","triangle",NA,725.732608695652,649.71,1
"sv020006",0,"mismatch",2,"pentagon","circular",NA,709.751052631579,663.69,1
"sv020006",0,"mismatch",2,"pentagon","triangle",NA,710.769736842105,654.44,1
"sv020006",0,"mismatch",2,"square","circular",NA,695.781666666667,665.895,1
"sv020006",0,"mismatch",2,"square","pentagon",NA,734.642727272727,694.5275,1
"sv020006",0,"mismatch",2,"triangle","pentagon",NA,695.571136363636,671.08,0.954545454545455
"sv020006",0,"mismatch",2,"triangle","square",NA,673.343695652174,647.205,1
"sv020006",0,"mismatch",3,"circular","pentagon",NA,686.578571428571,692.8825,1
