"subj_idx","series","condition","misNum","shapeEn","shapeNameEn","characterNameEn","rt","acc","med_rt"
"sv020005",1,"mismatch",3,"pentagon",NA,"self",732.9428125,0.9375,739.185
"sv020005",1,"mismatch",3,"pentagon",NA,"stranger",754.07625,0.875,743.0725
"sv020005",1,"mismatch",3,"square",NA,"friend",758.976875,0.6875,732.4225
"sv020005",1,"mismatch",3,"square",NA,"self",718.8546875,0.875,673.0625
"sv020005",1,"mismatch",3,"square",NA,"stranger",722.126875,1,695.5175
"sv020005",1,"mismatch",3,"triangle",NA,"friend",711.433125,0.875,681.675
"sv020005",1,"mismatch",3,"triangle",NA,"mother",647.5046875,1,641.495
"sv020005",1,"mismatch",3,"triangle",NA,"stranger",691.5203125,1,681.2975
"sv020006",0,"match",1,"circular","circular",NA,697.939375,0.979166666666667,661.4625
"sv020006",0,"match",1,"pentagon","pentagon",NA,894.575208333333,0.958333333333333,818.835
"sv020006",0,"match",1,"square","square",NA,769.679479166667,0.979166666666667,710.825
"sv020006",0,"match",1,"triangle","triangle",NA,764.673541666667,0.9375,690.5425
"sv020006",0,"match",2,"circular","circular",NA,720.561979166667,1,670.0425
"sv020006",0,"match",2,"pentagon","pentagon",NA,768.017604166667,0.958333333333333,701.3025
"sv020006",0,"match",2,"square","square",NA,698.104791666667,0.958333333333333,664.3175
"sv020006",0,"match",2,"triangle","triangle",NA,783.688541666667,0.958333333333333,648.865
"sv020006",0,"match",3,"circular","circular",NA,683.171770833333,0.979166666666667,646.7175
"sv020006",0,"match",3,"pentagon","pentagon",NA,712.620833333333,1,631.48
"sv020006",0,"match",3,"square","square",NA,663.032604166667,1,658.0475
"sv020006",0,"match",3,"triangle","triangle",NA,636.968645833333,1,619.315
"sv020006",0,"mismatch",1,"circular","triangle",NA,805.838645833333,0.979166666666667,732.68
"sv020006",0,"mismatch",1,"pentagon","circular",NA,766.365,0.9375,670.82
"sv020006",0,"mismatch",1,"square","pentagon",NA,887.277395833333,0.875,782.385
"sv020006",0,"mismatch",1,"triangle","square",NA,833.069479166667,1,733.925
"sv020006",0,"mismatch",2,"circular","square",NA,777.473181818182,0.916666666666667,727.9675
"sv020006",0,"mismatch",2,"circular","triangle",NA,754.877916666667,1,656.8175
"sv020006",0,"mismatch",2,"pentagon","circular",NA,867.634130434783,0.958333333333333,723.42
"sv020006",0,"mismatch",2,"pentagon","triangle",NA,888.655833333333,1,686.3275
"sv020006",0,"mismatch",2,"square","circular",NA,695.781666666667,0.875,665.895
"sv020006",0,"mismatch",2,"square","pentagon",NA,779.905833333333,1,718.7925
"sv020006",0,"mismatch",2,"triangle","pentagon",NA,749.986041666667,0.958333333333333,682.6725
"sv020006",0,"mismatch",2,"triangle","square",NA,673.343695652174,0.958333333333333,647.205
"sv020006",0,"mismatch",3,"circular","pentagon",NA,749.215,1,699.16
"sv020006",0,"mismatch",3,"circular","square",NA,699.856875,0.9375,663.87
"sv020006",0,"mismatch",3,"circular","triangle",NA,682.0353125,1,591.46
"sv020006",0,"mismatch",3,"pentagon","circular",NA,644.656875,1,638.45
"sv020006",0,"mismatch",3,"pentagon","square",NA,684.4946875,1,684.66
"sv020006",0,"mismatch",3,"pentagon","triangle",NA,680.9746875,0.9375,645.89
"sv020006",0,"mismatch",3,"square","circular",NA,689.526875,0.9375,613.0725
"sv020006",0,"mismatch",3,"square","pentagon",NA,704.2928125,1,684.81
"sv020006",0,"mismatch",3,"square","triangle",NA,765.3840625,1,658.11
"sv020006",0,"mismatch",3,"triangle","circular",NA,652.176875,1,599.7825
"sv020006",0,"mismatch",3,"triangle","pentagon",NA,735.3465625,1,616.5825
"sv020006",0,"mismatch",3,"triangle","square",NA,619.785625,0.9375,612.405
"sv020006",1,"match",1,"circular",NA,"stranger",819.885104166667,0.979166666666667,798.7275
"sv020006",1,"match",1,"pentagon",NA,"friend",829.807765957447,0.9375,820.395
"sv020006",1,"match",1,"square",NA,"mother",735.7009375,1,693.5225
"sv020006",1,"match",1,"triangle",NA,"self",702.149166666667,0.9375,671.8375
"sv020006",1,"match",2,"circular",NA,"stranger",753.688333333333,0.979166666666667,707.5325
"sv020006",1,"match",2,"pentagon",NA,"friend",794.431458333333,0.979166666666667,731.4925
"sv020006",1,"match",2,"square",NA,"mother",691.166145833333,0.979166666666667,668.03
"sv020006",1,"match",2,"triangle",NA,"self",726.173229166667,0.958333333333333,665.2025
"sv020006",1,"match",3,"circular",NA,"stranger",745.7440625,0.979166666666667,717.9925
"sv020006",1,"match",3,"pentagon",NA,"friend",727.9334375,0.9375,715.2575
"sv020006",1,"match",3,"square",NA,"mother",726.9121875,1,690.4025
"sv020006",1,"match",3,"triangle",NA,"self",680.096458333333,0.979166666666667,665.3025
"sv020006",1,"mismatch",1,"circular",NA,"self",744.669479166667,1,721.4
"sv020006",1,"mismatch",1,"pentagon",NA,"stranger",947.310208333333,0.979166666666667,878.2475
"sv020006",1,"mismatch",1,"square",NA,"friend",879.4271875,0.979166666666667,794.0075
"sv020006",1,"mismatch",1,"triangle",NA,"mother",778.7975,1,740
"sv020006",1,"mismatch",2,"circular",NA,"mother",707.66,1,669.99
