"subj_idx","series","shapeEn","shapeNameEn","characterNameEn","misNum","condition","block","n"
"sv020005",1,"circular",NA,"friend",3,"mismatch",1,4
"sv020005",1,"circular",NA,"friend",3,"mismatch",2,6
"sv020005",1,"circular",NA,"friend",3,"mismatch",3,2
"sv020005",1,"circular",NA,"friend",3,"mismatch",4,4
"sv020005",1,"circular",NA,"mother",2,"mismatch",5,9
"sv020005",1,"circular",NA,"mother",2,"mismatch",6,5
"sv020005",1,"circular",NA,"mother",2,"mismatch",7,6
"sv020005",1,"circular",NA,"mother",2,"mismatch",8,4
"sv020005",1,"circular",NA,"mother",3,"mismatch",1,3
"sv020005",1,"circular",NA,"mother",3,"mismatch",2,4
"sv020005",1,"circular",NA,"mother",3,"mismatch",3,4
"sv020005",1,"circular",NA,"mother",3,"mismatch",4,5
"sv020005",1,"circular",NA,"self",1,"mismatch",9,15
"sv020005",1,"circular",NA,"self",1,"mismatch",10,12
"sv020005",1,"circular",NA,"self",1,"mismatch",11,7
"sv020005",1,"circular",NA,"self",1,"mismatch",12,14
"sv020005",1,"circular",NA,"self",2,"mismatch",5,5
"sv020005",1,"circular",NA,"self",2,"mismatch",6,5
"sv020005",1,"circular",NA,"self",2,"mismatch",7,8
"sv020005",1,"circular",NA,"self",2,"mismatch",8,6
"sv020005",1,"circular",NA,"self",3,"mismatch",1,5
"sv020005",1,"circular",NA,"self",3,"mismatch",2,7
"sv020005",1,"circular",NA,"self",3,"mismatch",3,1
"sv020005",1,"circular",NA,"self",3,"mismatch",4,3
"sv020005",1,"circular",NA,"stranger",1,"match",9,16
"sv020005",1,"circular",NA,"stranger",1,"match",10,14
"sv020005",1,"circular",NA,"stranger",1,"match",11,12
"sv020005",1,"circular",NA,"stranger",1,"match",12,6
"sv020005",1,"circular",NA,"stranger",2,"match",5,11
"sv020005",1,"circular",NA,"stranger",2,"match",6,12
"sv020005",1,"circular",NA,"stranger",2,"match",7,14
"sv020005",1,"circular",NA,"stranger",2,"match",8,11
"sv020005",1,"circular",NA,"stranger",3,"match",1,12
"sv020005",1,"circular",NA,"stranger",3,"match",2,12
"sv020005",1,"circular",NA,"stranger",3,"match",3,10
"sv020005",1,"circular",NA,"stranger",3,"match",4,14
"sv020005",1,"pentagon",NA,"friend",1,"match",9,15
"sv020005",1,"pentagon",NA,"friend",1,"match",10,9
"sv020005",1,"pentagon",NA,"friend",1,"match",11,13
"sv020005",1,"pentagon",NA,"friend",1,"match",12,11
"sv020005",1,"pentagon",NA,"friend",2,"match",5,12
"sv020005",1,"pentagon",NA,"friend",2,"match",6,11
"sv020005",1,"pentagon",NA,"friend",2,"match",7,12
"sv020005",1,"pentagon",NA,"friend",2,"match",8,13
"sv020005",1,"pentagon",NA,"friend",3,"match",1,10
"sv020005",1,"pentagon",NA,"friend",3,"match",2,15
"sv020005",1,"pentagon",NA,"friend",3,"match",3,10
"sv020005",1,"pentagon",NA,"friend",3,"match",4,13
"sv020005",1,"pentagon",NA,"mother",3,"mismatch",1,1
"sv020005",1,"pentagon",NA,"mother",3,"mismatch",2,8
"sv020005",1,"pentagon",NA,"mother",3,"mismatch",3,4
"sv020005",1,"pentagon",NA,"mother",3,"mismatch",4,3
"sv020005",1,"pentagon",NA,"self",2,"mismatch",5,5
"sv020005",1,"pentagon",NA,"self",2,"mismatch",6,3
"sv020005",1,"pentagon",NA,"self",2,"mismatch",7,7
"sv020005",1,"pentagon",NA,"self",2,"mismatch",8,9
"sv020005",1,"pentagon",NA,"self",3,"mismatch",1,2
"sv020005",1,"pentagon",NA,"self",3,"mismatch",2,7
"sv020005",1,"pentagon",NA,"self",3,"mismatch",3,2
"sv020005",1,"pentagon",NA,"self",3,"mismatch",4,5
"sv020005",1,"pentagon",NA,"stranger",1,"mismatch",9,10
"sv020005",1,"pentagon",NA,"stranger",1,"mismatch",10,15
"sv020005",1,"pentagon",NA,"stranger",1,"mismatch",11,14
"sv020005",1,"pentagon",NA,"stranger",1,"mismatch",12,9
"sv020005",1,"pentagon",NA,"stranger",2,"mismatch",5,3
"sv020005",1,"pentagon",NA,"stranger",2,"mismatch",6,9
"sv020005",1,"pentagon",NA,"stranger",2,"mismatch",7,6
"sv020005",1,"pentagon",NA,"stranger",2,"mismatch",8,6
"sv020005",1,"pentagon",NA,"stranger",3,"mismatch",1,7
"sv020005",1,"pentagon",NA,"stranger",3,"mismatch",2,3
"sv020005",1,"pentagon",NA,"stranger",3,"mismatch",3,2
"sv020005",1,"pentagon",NA,"stranger",3,"mismatch",4,4
"sv020005",1,"square",NA,"friend",1,"mismatch",9,11
"sv020005",1,"square",NA,"friend",1,"mismatch",10,9
"sv020005",1,"square",NA,"friend",1,"mismatch",11,12
"sv020005",1,"square",NA,"friend",1,"mismatch",12,16
"sv020005",1,"square",NA,"friend",2,"mismatch",5,7
"sv020005",1,"square",NA,"friend",2,"mismatch",6,5
"sv020005",1,"square",NA,"friend",2,"mismatch",7,6
"sv020005",1,"square",NA,"friend",2,"mismatch",8,6
"sv020005",1,"square",NA,"friend",3,"mismatch",1,6
"sv020005",1,"square",NA,"friend",3,"mismatch",2,1
"sv020005",1,"square",NA,"friend",3,"mismatch",3,6
"sv020005",1,"square",NA,"friend",3,"mismatch",4,3
"sv020005",1,"square",NA,"mother",1,"match",9,10
"sv020005",1,"square",NA,"mother",1,"match",10,12
"sv020005",1,"square",NA,"mother",1,"match",11,14
"sv020005",1,"square",NA,"mother",1,"match",12,12
"sv020005",1,"square",NA,"mother",2,"match",5,12
"sv020005",1,"square",NA,"mother",2,"match",6,11
"sv020005",1,"square",NA,"mother",2,"match",7,11
"sv020005",1,"square",NA,"mother",2,"match",8,14
"sv020005",1,"square",NA,"mother",3,"match",1,13
"sv020005",1,"square",NA,"mother",3,"match",2,13
"sv020005",1,"square",NA,"mother",3,"match",3,12
"sv020005",1,"square",NA,"mother",3,"match",4,10
"sv020005",1,"square",NA,"self",3,"mismatch",1,1
"sv020005",1,"square",NA,"self",3,"mismatch",2,4
"sv020005",1,"square",NA,"self",3,"mismatch",3,9
"sv020005",1,"square",NA,"self",3,"mismatch",4,2
"sv020005",1,"square",NA,"stranger",2,"mismatch",5,7
"sv020005",1,"square",NA,"stranger",2,"mismatch",6,6
"sv020005",1,"square",NA,"stranger",2,"mismatch",7,5
"sv020005",1,"square",NA,"stranger",2,"mismatch",8,6
"sv020005",1,"square",NA,"stranger",3,"mismatch",1,7
"sv020005",1,"square",NA,"stranger",3,"mismatch",2,3
"sv020005",1,"square",NA,"stranger",3,"mismatch",3,5
"sv020005",1,"square",NA,"stranger",3,"mismatch",4,1
"sv020005",1,"triangle",NA,"friend",2,"mismatch",5,6
"sv020005",1,"triangle",NA,"friend",2,"mismatch",6,8
"sv020005",1,"triangle",NA,"friend",2,"mismatch",7,6
"sv020005",1,"triangle",NA,"friend",2,"mismatch",8,4
"sv020005",1,"triangle",NA,"friend",3,"mismatch",1,3
"sv020005",1,"triangle",NA,"friend",3,"mismatch",2,3
"sv020005",1,"triangle",NA,"friend",3,"mismatch",3,4
"sv020005",1,"triangle",NA,"friend",3,"mismatch",4,6
"sv020005",1,"triangle",NA,"mother",1,"mismatch",9,8
"sv020005",1,"triangle",NA,"mother",1,"mismatch",10,12
"sv020005",1,"triangle",NA,"mother",1,"mismatch",11,13
"sv020005",1,"triangle",NA,"mother",1,"mismatch",12,15
"sv020005",1,"triangle",NA,"mother",2,"mismatch",5,4
"sv020005",1,"triangle",NA,"mother",2,"mismatch",6,9
"sv020005",1,"triangle",NA,"mother",2,"mismatch",7,3
"sv020005",1,"triangle",NA,"mother",2,"mismatch",8,8
"sv020005",1,"triangle",NA,"mother",3,"mismatch",1,7
"sv020005",1,"triangle",NA,"mother",3,"mismatch",2,2
"sv020005",1,"triangle",NA,"mother",3,"mismatch",3,3
"sv020005",1,"triangle",NA,"mother",3,"mismatch",4,4
"sv020005",1,"triangle",NA,"self",1,"match",9,11
"sv020005",1,"triangle",NA,"self",1,"match",10,13
"sv020005",1,"triangle",NA,"self",1,"match",11,11
"sv020005",1,"triangle",NA,"self",1,"match",12,13
"sv020005",1,"triangle",NA,"self",2,"match",5,15
"sv020005",1,"triangle",NA,"self",2,"match",6,12
"sv020005",1,"triangle",NA,"self",2,"match",7,12
"sv020005",1,"triangle",NA,"self",2,"match",8,9
"sv020005",1,"triangle",NA,"self",3,"match",1,12
"sv020005",1,"triangle",NA,"self",3,"match",2,6
"sv020005",1,"triangle",NA,"self",3,"match",3,15
"sv020005",1,"triangle",NA,"self",3,"match",4,15
"sv020005",1,"triangle",NA,"stranger",3,"mismatch",1,3
"sv020005",1,"triangle",NA,"stranger",3,"mismatch",2,2
"sv020005",1,"triangle",NA,"stranger",3,"mismatch",3,7
"sv020005",1,"triangle",NA,"stranger",3,"mismatch",4,4
